mc,mc_ath,liq_sol,age_minutes,snipers_present,abnormal_vol,total_snipers_count,high_holder_warning,dev_sol,dev_ror,shrimp,fish,whale,fresh,target
126200.0,443000.0,96.0,15,0,0,0,0,2.0,0.0,8,11,1,0,0
68900.0,192300.0,71.0,11,1,0,8,0,89.0,0.0,5,10,4,0,1
112500.0,906900.0,94.0,6,1,0,33,0,1.0,5.0,8,10,2,0,1
199700.0,1000000.0,120.0,10,0,0,0,0,1.0,4.0,8,6,3,0,0
113400.0,178500.0,91.0,21,1,0,36,0,6.0,0.0,8,8,4,0,0
107700.0,165900.0,88.0,26,0,0,0,0,0.0,0.0,5,13,1,0,1
108000.0,2100000.0,91.0,9,0,1,0,0,0.0,0.0,3,17,0,0,0
96300.0,1400000.0,89.0,9,1,0,47,1,1.0,4.0,4,8,4,4,0
118200.0,2300000.0,92.0,7,0,0,0,0,9.0,0.0,9,7,3,0,1
22800.0,36300.0,,7,0,0,0,0,4.0,0.0,4,12,2,0,0
96800.0,152300.0,85.0,11,0,1,0,0,1.0,0.0,5,13,1,1,1
86000.0,240100.0,78.0,19,0,0,0,0,0.0,0.0,7,11,1,0,0
87000.0,341700.0,80.0,3,0,0,8,0,0.0,2.0,6,11,2,0,0
25700.0,92100.0,43.0,18,1,0,27,0,1.0,0.0,5,9,6,0,0
144300.0,187600.0,102.0,10,0,0,0,0,36.0,0.0,8,9,1,2,0
60700.0,162200.0,66.0,11,0,0,0,0,0.0,0.0,15,1,1,3,0
88400.0,103000.0,79.0,11,1,0,19,1,0.0,1.0,5,12,3,0,1
98900.0,2200000.0,91.0,31,0,1,11,0,4.0,0.0,8,11,1,0,0
84100.0,102900.0,77.0,13,1,0,19,1,0.0,1.0,5,13,2,0,1
96800.0,156100.0,83.0,10,1,0,12,0,34.0,0.0,1,14,4,0,0
138100.0,173100.0,99.0,8,0,0,0,0,1.0,0.0,9,8,2,0,0
226000.0,2800000.0,149.0,1440,0,0,0,0,0.0,0.0,5,10,5,0,1
80200.0,364600.0,76.0,12,0,1,0,0,0.0,1.0,7,8,3,1,1
65300.0,254800.0,68.0,18,0,1,0,0,2.0,3.0,10,7,3,0,0
45300.0,1400000.0,58.0,19,1,0,21,0,11.0,0.0,1,17,1,0,0
45800.0,145600.0,57.0,25,0,0,0,0,1.0,3.0,5,15,0,0,0
22600.0,59900.0,,48,0,0,0,0,8.0,0.0,6,8,2,0,0
68400.0,481700.0,70.0,11,0,0,0,0,1.0,41.0,0,0,0,19,0
132500.0,631100.0,98.0,4,0,1,0,0,7.0,0.0,7,4,1,7,1
6900.0,481500.0,22.0,13,0,0,0,0,0.0,0.0,0,0,0,19,0
137700.0,1100000.0,110.0,48,0,1,0,0,5.0,0.0,8,8,2,2,0
73400.0,3000000.0,71.0,11,0,0,0,1,21.0,0.0,10,9,1,0,1
88000.0,104200.0,80.0,35,0,0,0,0,1.0,2.0,4,12,3,1,1
146400.0,2300000.0,115.0,18,0,1,0,0,1.0,0.0,10,6,1,2,1
290600.0,495100.0,148.0,12,0,0,0,0,0.0,0.0,8,11,1,0,1
41400.0,78900.0,35.0,120,0,0,0,0,2.0,3.0,9,10,1,0,1
48200.0,630400.0,61.0,240,0,0,0,1,0.0,0.0,8,10,2,0,1
104400.0,166800.0,86.0,5,0,0,0,0,0.0,0.0,9,8,2,1,1
1500.0,41500.0,2.0,3,0,0,0,0,1.0,0.0,7,11,2,0,0
55200.0,918000.0,69.0,12,1,0,21,0,15.0,0.0,5,11,3,0,1
142100.0,8100000.0,111.0,60,0,0,0,0,2.0,0.0,1,12,3,4,0
180200.0,243500.0,113.0,8,0,0,0,1,156.0,1.0,8,6,5,0,1
123400.0,306800.0,94.0,31,0,0,0,0,0.0,0.0,10,9,0,0,0
11500.0,13700.0,,60,0,0,0,0,0.0,0.0,7,11,0,1,1
134300.0,184600.0,98.0,29,0,0,0,0,34.0,0.0,1,18,0,0,0
52700.0,498500.0,63.0,13,1,0,31,0,1.0,6.0,1,16,2,0,0
131700.0,434300.0,99.0,30,1,0,15,1,1.0,4.0,4,8,6,1,1
58600.0,120300.0,66.0,960,0,0,0,0,0.0,0.0,8,10,0,1,0
83500.0,1400000.0,81.0,17,0,1,0,0,0.0,0.0,1,16,1,1,0
125200.0,513100.0,97.0,14,0,1,0,0,0.0,0.0,11,9,0,0,1
129600.0,962700.0,97.0,12,1,0,20,0,12.0,0.0,1,12,5,1,0
49800.0,177200.0,60.0,12,0,0,0,0,5.0,0.0,4,15,0,0,0
17800.0,18400.0,,60,0,0,0,1,9.0,0.0,9,10,0,0,1
114600.0,1800000.0,99.0,30,0,1,10,0,1.0,0.0,4,11,4,0,1
108900.0,419900.0,89.0,11,0,0,0,1,1.0,0.0,0,0,0,20,1
56600.0,103600.0,65.0,120,1,0,7,0,0.0,0.0,7,9,3,0,1
51700.0,92900.0,61.0,60,0,0,0,1,0.0,0.0,11,7,0,0,1
51700.0,178600.0,61.0,300,0,0,0,0,0.0,0.0,3,13,4,0,0
22200.0,392700.0,43.0,10080,0,0,0,0,0.0,0.0,11,6,1,1,1
65900.0,179500.0,69.0,5,0,0,13,0,0.0,0.0,3,6,3,7,0
65900.0,179500.0,69.0,5,0,0,13,0,0.0,0.0,3,6,3,7,0
113600.0,3400000.0,105.0,14,0,0,0,1,768.0,0.0,4,11,4,0,1
50000.0,2100000.0,60.0,11,0,0,0,0,0.0,0.0,7,9,1,2,0
98600.0,167000.0,85.0,7,0,0,0,0,0.0,4.0,13,5,1,0,1
29000.0,366400.0,47.0,22,0,0,0,0,39.0,0.0,6,7,6,0,0
78300.0,103700.0,75.0,11,0,0,0,0,5.0,0.0,7,9,2,1,1
66200.0,99400.0,68.0,11,1,0,9,0,1.0,1.0,12,5,2,0,1
116800.0,188800.0,92.0,33,0,0,0,0,16.0,0.0,1,13,5,0,0
135300.0,434300.0,98.0,16,0,0,0,0,0.0,0.0,7,9,3,0,1
69600.0,148100.0,70.0,240,0,0,0,0,0.0,0.0,6,10,4,0,1
83200.0,538900.0,80.0,8,0,1,0,0,0.0,0.0,10,8,2,0,0
51000.0,232700.0,60.0,11,0,1,10,0,5.0,4.0,8,6,0,5,0
131900.0,1100000.0,107.0,10,0,1,0,0,9.0,0.0,4,10,5,0,1
48400.0,95900.0,58.0,22,0,0,0,1,4.0,0.0,8,8,3,0,1
114400.0,1400000.0,99.0,14,1,0,20,0,65.0,0.0,7,11,1,0,1
70600.0,179300.0,72.0,11,1,0,21,0,1.0,0.0,6,10,3,0,0
163500.0,381900.0,109.0,15,1,0,35,1,1.0,0.0,1,15,3,0,0
131100.0,1500000.0,110.0,50,0,1,0,0,8.0,0.0,8,7,4,0,0
39400.0,90200.0,53.0,21,0,0,0,0,0.0,0.0,5,2,0,12,0
57800.0,252200.0,64.0,13,0,1,0,0,1.0,0.0,7,8,3,1,1
139700.0,394900.0,101.0,17,1,0,26,1,0.0,3.0,1,14,4,0,0
148400.0,1500000.0,126.0,60,0,0,0,1,1.0,3.0,8,8,3,0,0
144800.0,513600.0,108.0,60,0,0,0,0,1.0,0.0,7,10,1,1,1
65800.0,99600.0,69.0,10,0,0,0,0,0.0,3.0,6,9,3,1,1
117300.0,165100.0,91.0,2,0,0,0,0,24.0,0.0,12,2,5,0,1
187300.0,981800.0,128.0,31,0,1,0,1,51.0,0.0,5,7,7,0,0
128500.0,1100000.0,107.0,60,1,0,33,0,3.0,0.0,2,15,2,0,1
60700.0,120100.0,66.0,480,0,0,0,0,7.0,4.0,6,8,4,1,1
158700.0,7600000.0,146.0,420,0,0,0,0,4.0,0.0,4,12,3,0,0
85600.0,138600.0,78.0,10,1,0,55,0,2.0,0.0,1,11,1,6,0
125300.0,154700.0,94.0,11,0,0,0,0,56.0,0.0,12,6,0,1,0
68000.0,989600.0,74.0,33,1,0,31,0,0.0,0.0,0,3,1,15,0
63700.0,90300.0,67.0,17,0,0,0,1,0.0,0.0,6,10,3,0,0
134100.0,1300000.0,105.0,11,1,0,24,0,71.0,0.0,3,8,8,0,0
113800.0,979200.0,90.0,10,0,0,0,1,0.0,3.0,7,9,3,0,0
61400.0,252000.0,66.0,11,0,0,0,0,0.0,1.0,6,10,1,2,1
93400.0,404400.0,85.0,9,0,1,18,0,0.0,0.0,8,3,1,7,0
70400.0,447600.0,72.0,11,0,1,12,0,1.0,0.0,7,11,1,0,0
150500.0,1600000.0,110.0,9,1,0,13,0,1.0,0.0,6,9,4,0,1
61200.0,99800.0,65.0,12,0,0,0,0,0.0,0.0,12,3,4,0,0
79100.0,126300.0,74.0,11,0,0,0,0,3.0,0.0,7,10,2,0,0
192200.0,3400000.0,159.0,43200,0,0,0,1,0.0,0.0,6,13,0,0,1
105100.0,1700000.0,100.0,8640,0,0,0,0,0.0,0.0,3,12,2,2,1
15800.0,19300.0,,14,0,0,0,0,0.0,1.0,5,7,6,0,0
147700.0,279900.0,103.0,17,0,0,10,0,53.0,0.0,2,11,6,0,1
247600.0,1400000.0,139.0,16,0,0,0,0,406.0,0.0,2,16,1,0,0
42900.0,162400.0,55.0,5,0,0,0,0,3.0,0.0,8,9,2,0,0
42400.0,333600.0,56.0,49,0,1,0,0,18.0,0.0,6,11,2,0,0
56000.0,143500.0,62.0,11,0,0,0,0,0.0,1.0,11,4,4,0,1
37600.0,143700.0,51.0,13,0,0,0,0,0.0,1.0,11,4,4,0,1
60400.0,279800.0,67.0,10,0,1,5,0,24.0,1.0,4,11,5,0,0
27200.0,27300.0,,1440,0,0,0,0,0.0,0.0,5,8,4,0,0
148600.0,528000.0,106.0,33,0,0,0,0,14.0,0.0,2,17,0,0,1
149600.0,3700000.0,105.0,37,0,1,0,0,0.0,0.0,6,12,2,0,1
29200.0,29400.0,,2880,0,0,0,0,0.0,4.0,5,7,2,1,1
35500.0,99200.0,50.0,5,0,0,0,1,1.0,0.0,4,11,4,0,0
133400.0,1400000.0,98.0,34,0,1,4,0,0.0,19.0,5,9,3,2,1
56000.0,405200.0,63.0,11,0,0,0,1,0.0,2.0,5,12,2,0,0
122900.0,389200.0,94.0,6,0,0,0,0,0.0,0.0,12,6,1,0,1
93900.0,307500.0,82.0,5,0,0,0,0,1.0,0.0,4,10,5,0,0
81400.0,307900.0,77.0,6,0,0,0,0,1.0,0.0,4,10,5,0,0
133700.0,403000.0,98.0,180,0,0,0,1,4.0,0.0,12,4,3,0,0
135200.0,231000.0,99.0,9,0,0,0,0,0.0,0.0,5,11,3,0,0
71100.0,1300000.0,72.0,6,0,1,0,0,0.0,3.0,2,10,3,4,1
89200.0,500600.0,82.0,28,0,1,0,0,0.0,0.0,11,7,1,0,0
82200.0,116700.0,75.0,7,1,0,20,0,2.0,1.0,5,11,3,0,0
74400.0,467800.0,72.0,8,1,0,34,0,2.0,10.0,2,4,1,12,1
84000.0,604800.0,77.0,12,0,0,0,0,0.0,0.0,1,13,3,2,1
100900.0,466000.0,84.0,24,0,0,0,0,7.0,0.0,1,0,1,17,1
27900.0,61000.0,,60,0,0,0,0,57.0,0.0,12,6,1,0,1
49500.0,96300.0,59.0,25,1,0,71,1,0.0,0.0,0,19,0,0,0
109800.0,411300.0,89.0,10,1,0,16,0,0.0,0.0,6,8,5,0,0
66500.0,221500.0,68.0,8,0,0,0,0,7.0,0.0,5,12,1,1,0
95500.0,171800.0,82.0,6,0,0,0,0,94.0,0.0,11,8,0,0,1
110400.0,493300.0,90.0,5,1,0,25,0,71.0,0.0,3,11,5,0,0
78400.0,433600.0,75.0,11,0,1,0,1,0.0,6.0,6,8,5,0,0
94000.0,118700.0,80.0,4,0,0,0,0,28.0,4.0,7,10,1,1,1
104100.0,260600.0,85.0,8,0,0,0,0,0.0,2.0,8,6,6,0,1
48800.0,92500.0,58.0,10,0,0,0,0,1.0,0.0,6,10,2,1,1
44300.0,1800000.0,64.0,120,1,0,37,0,1.0,0.0,4,12,1,3,0
51300.0,192800.0,60.0,10,0,0,0,1,0.0,0.0,12,4,4,0,0
91800.0,111900.0,80.0,3,0,0,18,0,99.0,1.0,4,10,4,1,1
22500.0,92100.0,40.0,49,0,1,0,0,1.0,0.0,6,10,2,1,1
111600.0,167300.0,88.0,10,0,0,0,0,12.0,0.0,3,11,5,0,1
127700.0,388400.0,96.0,10,1,0,20,1,0.0,0.0,6,10,4,0,0
140300.0,388500.0,100.0,12,1,0,20,1,0.0,0.0,6,10,4,0,0
33900.0,102500.0,49.0,8,0,0,0,0,0.0,0.0,12,6,1,0,0
79800.0,346100.0,75.0,840,0,0,0,0,1.0,0.0,4,7,7,2,1
55200.0,146700.0,63.0,12,0,0,0,0,2.0,0.0,3,13,3,0,0
180100.0,2800000.0,120.0,60,0,0,0,0,161.0,0.0,7,10,2,1,0
74800.0,514600.0,75.0,12,0,1,0,0,5.0,0.0,6,8,5,0,0
60400.0,534200.0,71.0,120,0,0,0,0,1.0,1.0,0,19,0,0,0
51500.0,189700.0,60.0,58,0,0,0,0,1.0,0.0,6,11,3,0,1
117100.0,681500.0,95.0,120,0,0,0,0,261.0,0.0,11,6,2,0,0
117500.0,1200000.0,99.0,38,1,0,63,0,0.0,0.0,0,18,1,0,1
12000.0,12100.0,,3,0,0,0,0,0.0,0.0,5,6,2,1,1
12000.0,12100.0,,3,0,0,0,0,0.0,0.0,5,6,2,1,1
15800.0,15800.0,,10,0,0,0,0,10.0,0.0,8,8,2,0,0
105000.0,667900.0,91.0,18,1,0,34,0,7.0,0.0,3,9,7,0,1
114400.0,163200.0,90.0,3,0,0,0,0,0.0,0.0,5,14,0,0,0
114400.0,163200.0,90.0,3,0,0,0,0,0.0,0.0,5,14,0,0,0
47800.0,91100.0,58.0,1080,0,0,0,1,4.0,0.0,12,6,1,0,0
45400.0,91000.0,57.0,1080,0,0,0,1,4.0,0.0,12,6,1,0,0
61000.0,100700.0,66.0,10,1,0,15,0,13.0,0.0,2,12,5,0,0
94600.0,162700.0,81.0,2,0,0,0,1,16.0,0.0,3,12,4,0,0
94500.0,181000.0,81.0,5,0,0,0,0,3.0,0.0,2,15,2,0,1
39800.0,111900.0,53.0,17,0,0,0,0,1.0,0.0,7,13,0,0,0
151600.0,195800.0,104.0,6,0,0,0,0,0.0,0.0,7,11,1,0,1
56400.0,145400.0,64.0,10,0,0,9,0,0.0,0.0,8,11,1,0,1
12400.0,36500000.0,14.0,14,0,0,0,0,0.0,0.0,6,11,1,2,0
80100.0,188900.0,75.0,5,0,0,0,0,0.0,0.0,5,12,2,0,1
98700.0,131100.0,84.0,10,0,0,0,0,4.0,0.0,5,12,2,0,0
7400.0,225800.0,23.0,24,0,0,0,0,333.0,0.0,3,16,0,0,0
50400.0,93800.0,60.0,34,0,0,0,0,0.0,0.0,11,6,2,0,0
52600.0,141500.0,60.0,10,0,0,0,0,1.0,3.0,0,0,0,19,1
126900.0,1300000.0,98.0,21,0,1,0,1,0.0,0.0,5,9,3,2,0
53600.0,116100.0,62.0,11,0,0,14,0,8.0,0.0,4,15,0,0,1
22900.0,28800.0,,41,0,0,0,0,0.0,0.0,7,8,1,3,0
65200.0,127000.0,67.0,10,0,0,0,0,0.0,3.0,7,7,1,4,1
107900.0,218600.0,88.0,9,0,0,0,0,0.0,0.0,7,9,3,0,0
117100.0,175900.0,90.0,3,0,0,0,0,37.0,0.0,6,11,2,0,1
139900.0,843800.0,106.0,60,0,0,0,0,1.0,4.0,0,18,0,1,0
34000.0,62900.0,24.0,15,0,0,0,0,1.0,0.0,8,9,1,2,0
108400.0,160600.0,87.0,5,0,0,0,0,1.0,0.0,8,8,3,1,0
66300.0,1100000.0,79.0,120,0,0,0,0,0.0,0.0,9,7,2,1,0
17400.0,19200.0,,5,0,0,0,0,6.0,0.0,9,7,3,0,1
134200.0,153600.0,97.0,3,0,0,16,0,8.0,0.0,10,6,3,0,1
117800.0,134600.0,90.0,2,0,0,0,0,0.0,0.0,11,4,4,0,0
55600.0,105500.0,63.0,12,0,0,14,0,12.0,0.0,6,11,2,0,0
109200.0,153600.0,87.0,3,0,0,0,0,3.0,0.0,3,13,3,0,1
102500.0,141500.0,84.0,5,0,0,0,0,0.0,0.0,9,10,1,0,0
126900.0,226400.0,95.0,4,0,0,7,0,6.0,0.0,6,8,2,3,1
134300.0,200400.0,97.0,3,0,0,0,0,5.0,1.0,6,9,2,2,1
141500.0,425200.0,102.0,24,0,0,0,0,1.0,3.0,0,19,0,0,0
39800.0,128700.0,53.0,19,1,0,20,0,2.0,0.0,8,9,2,0,0
47000.0,93500.0,57.0,16,0,0,0,0,1.0,0.0,5,11,0,3,1
136600.0,2000000.0,98.0,55,0,0,0,0,0.0,22.0,0,0,0,19,0
135200.0,735400.0,100.0,17,0,0,0,0,0.0,0.0,5,13,1,0,0
134800.0,239100.0,97.0,4,0,0,0,0,0.0,3.0,7,9,2,1,1
134800.0,239100.0,97.0,4,0,0,0,0,0.0,3.0,7,9,2,1,1
145000.0,734800.0,103.0,19,0,0,0,0,0.0,0.0,5,13,1,0,0
139100.0,894900.0,108.0,60,0,0,0,0,1.0,3.0,6,13,0,0,0
106000.0,180900.0,86.0,6,0,0,0,0,2.0,0.0,7,6,0,6,1
93300.0,138600.0,80.0,3,0,0,0,0,4.0,0.0,9,7,2,1,1
126400.0,478000.0,98.0,54,0,0,0,0,1.0,4.0,1,18,0,0,0
45900.0,95900.0,56.0,58,0,0,0,0,2.0,0.0,10,7,2,0,0
121100.0,216300.0,92.0,3,0,0,11,0,5.0,0.0,5,11,3,0,1
50400.0,115300.0,60.0,10,0,0,0,0,1.0,0.0,5,12,1,1,0
33400.0,234300.0,48.0,3,0,0,0,0,0.0,3.0,14,5,0,0,0
111800.0,134300.0,88.0,4,0,0,0,0,0.0,0.0,17,2,1,0,1
15600.0,16000.0,,5,0,0,0,0,0.0,0.0,4,14,1,0,0
48300.0,2000000.0,59.0,14,0,0,0,1,15.0,1.0,5,12,2,0,1
48700.0,154600.0,58.0,10,0,0,0,0,6.0,0.0,5,11,2,2,1
100400.0,362000.0,86.0,6,0,0,13,0,32.0,0.0,2,14,3,0,0
131100.0,164800.0,96.0,2,0,0,0,0,3.0,0.0,9,9,1,0,0
8800.0,27400.0,,6,0,0,0,0,2.0,0.0,9,7,3,0,0
57200.0,90400.0,63.0,11,0,0,0,0,0.0,0.0,13,5,1,0,0
53100.0,105100.0,30.0,9,0,0,0,0,1.0,1.0,6,9,1,4,0
89000.0,133100.0,79.0,7,0,0,0,0,0.0,0.0,6,10,3,0,1
134900.0,448000.0,99.0,11,0,0,0,0,1.0,3.0,13,6,0,0,1
137300.0,317200.0,98.0,28,0,0,0,0,65.0,0.0,9,9,1,0,0
43700.0,273700.0,56.0,1140,0,0,0,0,88.0,0.0,6,12,2,0,1
114400.0,579500.0,89.0,3,0,0,0,0,0.0,0.0,9,9,1,0,0
16400.0,20800.0,,57,0,0,0,0,0.0,0.0,11,6,2,0,0
121700.0,412300.0,94.0,9,0,1,0,1,404.0,3.0,5,12,2,0,0
137600.0,162800.0,98.0,3,0,0,0,0,2.0,0.0,9,9,0,1,1
60300.0,285200.0,66.0,31,0,0,0,0,1.0,3.0,0,19,0,0,0
94200.0,99200.0,81.0,4,0,0,0,0,0.0,0.0,8,11,1,0,0
126600.0,192400.0,95.0,22,0,0,0,0,0.0,0.0,0,0,0,19,0
106000.0,710100.0,89.0,6,1,0,33,0,59.0,0.0,1,13,1,4,0
155100.0,1200000.0,111.0,4320,0,0,9,0,0.0,0.0,8,7,3,1,0
47800.0,90200.0,58.0,16,0,0,0,1,2.0,0.0,4,10,1,4,0
94800.0,315100.0,82.0,25,0,0,0,0,0.0,3.0,5,10,1,3,1
22600.0,22600.0,,14,0,0,0,0,4.0,0.0,7,9,3,0,1
38600.0,126300.0,57.0,14,0,0,0,0,0.0,0.0,2,7,2,8,0
55000.0,339400.0,62.0,10,0,0,0,0,1.0,9.0,6,10,2,2,0
52600.0,127400.0,61.0,10,0,0,0,0,20.0,2.0,5,12,2,0,1
93700.0,160300.0,81.0,5,0,0,0,0,3.0,3.0,13,1,0,5,0
134100.0,462200.0,98.0,38,0,0,0,0,0.0,3.0,7,6,0,6,1
66100.0,171800.0,68.0,10,0,0,0,0,4.0,0.0,6,11,2,0,1
89300.0,181100.0,79.0,4,0,0,0,0,4.0,0.0,3,14,2,0,1
94700.0,292100.0,83.0,3,0,0,0,1,7.0,0.0,7,6,6,0,0
96000.0,155800.0,81.0,3,0,0,0,1,0.0,0.0,10,9,0,0,0
47300.0,136700.0,59.0,60,0,0,14,0,1.0,0.0,3,15,1,0,1
118500.0,159400.0,91.0,3,1,0,10,0,0.0,0.0,5,12,2,0,0
54700.0,195700.0,63.0,55,0,1,16,0,60.0,0.0,4,11,4,0,0
181000.0,411500.0,113.0,4,0,0,12,0,2.0,0.0,4,12,3,0,0
141400.0,612800.0,115.0,120,0,0,0,0,0.0,0.0,0,0,0,19,0
140200.0,247500.0,99.0,13,0,0,0,0,1.0,0.0,0,0,0,19,0
67000.0,90900.0,68.0,11,0,0,0,0,2.0,0.0,10,6,3,0,0
165700.0,1500000.0,116.0,43,0,0,0,0,3.0,1.0,2,5,1,11,1
132700.0,262600.0,97.0,19,0,0,0,0,1.0,4.0,6,13,0,0,1
136200.0,193900.0,97.0,21,0,0,4,0,2.0,17.0,6,7,1,5,0
136700.0,258100.0,98.0,12,0,0,0,0,1.0,4.0,0,19,0,0,1
131200.0,162100.0,96.0,5,0,0,0,0,21.0,0.0,10,3,1,5,0
91200.0,196300.0,80.0,3,0,0,0,0,0.0,0.0,7,12,0,0,1
103700.0,11000000.0,86.0,28,0,0,0,0,10.0,3.0,6,9,4,0,0
42400.0,63700.0,,46,0,0,8,0,0.0,0.0,6,11,1,1,0
132500.0,1300000.0,106.0,25,0,1,27,0,53.0,0.0,9,8,2,0,0
119900.0,170100.0,91.0,8,0,0,0,1,0.0,2.0,5,10,4,0,0
19600.0,30800.0,,22,0,0,0,0,2.0,0.0,5,11,1,2,1
140300.0,213200.0,100.0,2,0,0,0,0,2.0,0.0,9,7,3,0,1
150500.0,919700.0,110.0,60,0,0,0,0,0.0,26.0,10,8,1,0,1
129600.0,892200.0,102.0,20,1,0,4,0,1.0,0.0,4,14,1,0,0
93000.0,259600.0,83.0,9,0,1,0,0,1.0,0.0,9,8,2,0,0
50100.0,605500.0,60.0,12,0,1,0,1,1.0,3.0,3,13,0,3,0
99600.0,1900000.0,89.0,29,0,1,0,0,0.0,0.0,9,10,1,0,0
98500.0,576400.0,83.0,3,0,0,0,0,3.0,0.0,11,2,1,5,0
120900.0,167300.0,92.0,4,0,0,0,0,4.0,0.0,9,7,3,0,1
126600.0,798800.0,101.0,11,0,1,0,0,1.0,0.0,2,12,5,0,1
52600.0,318200.0,62.0,14,1,0,29,0,4.0,0.0,1,15,3,0,0
45900.0,210100.0,57.0,12,1,0,10,1,2.0,10.0,5,11,3,0,0
179000.0,469500.0,113.0,18,0,0,0,0,2.0,0.0,6,10,3,0,0
86100.0,219700.0,78.0,15,0,0,0,0,2.0,0.0,1,2,0,16,0
97300.0,148200.0,83.0,4,0,0,0,0,0.0,0.0,3,13,2,1,1
124600.0,484300.0,97.0,120,0,0,0,0,0.0,0.0,7,7,1,4,0
78300.0,387100.0,75.0,59,0,0,0,0,57.0,0.0,0,0,0,19,0
140700.0,184700.0,99.0,6,0,0,0,0,56.0,0.0,4,14,1,0,1
143300.0,165700.0,100.0,3,0,0,0,0,129.0,0.0,8,8,3,0,0
25000.0,92900.0,42.0,16,0,0,0,0,1.0,0.0,7,11,1,0,0
111700.0,183400.0,88.0,5,0,0,0,0,0.0,4.0,3,0,0,16,1
140300.0,282400.0,99.0,120,0,0,0,0,0.0,18.0,7,8,4,0,1
89000.0,127000.0,79.0,25,0,0,0,0,4.0,9.0,8,8,1,2,0
146000.0,250700.0,101.0,3,0,0,0,0,6.0,0.0,13,5,1,0,0
115800.0,136600.0,91.0,10,0,0,0,0,0.0,0.0,8,9,0,0,1
90200.0,158700.0,79.0,2,0,0,0,0,17.0,0.0,0,2,0,17,1
78100.0,209100.0,75.0,11,0,0,0,0,1.0,4.0,6,12,0,1,1
67700.0,347100.0,69.0,12,0,0,0,0,7.0,0.0,10,6,2,1,1
19600.0,23200.0,,26,0,0,0,0,8.0,0.0,5,13,1,0,0
73000.0,547800.0,77.0,23,1,0,23,0,0.0,2.0,3,9,5,2,0
123400.0,290200.0,94.0,8,0,0,0,0,8.0,0.0,8,8,3,0,1
96700.0,255000.0,83.0,11,0,0,0,0,11.0,0.0,9,6,4,0,1
44600.0,170100.0,56.0,10,0,0,0,0,8.0,0.0,4,13,2,0,0
87800.0,180700.0,80.0,23,0,0,0,0,0.0,0.0,8,6,5,0,1
212800.0,1600000.0,141.0,30,1,0,21,0,16.0,0.0,1,18,0,0,0
121500.0,1300000.0,102.0,42,0,1,0,0,3.0,3.0,2,12,6,0,1
56200.0,228300.0,65.0,11,0,1,19,0,100.0,0.0,7,11,1,0,0
127600.0,209900.0,98.0,7,1,0,18,0,64.0,0.0,8,8,3,0,0
59200.0,601000.0,66.0,54,0,0,0,0,4.0,0.0,5,12,3,0,0
